datetime,O,H,L,C,V,A
2015-01-05 09:31:00,24.8,24.8,24.43,24.43,1307.0,3221822.0
2015-01-05 09:32:00,24.42,24.42,24.2,24.2,687.0,1669407.0
2015-01-05 09:33:00,24.2,24.24,23.85,23.86,2223.0,5348434.0
2015-01-05 09:34:00,23.85,23.85,23.8,23.84,1081.0,2576518.0
2015-01-05 09:35:00,23.84,23.9,23.77,23.9,1271.0,3026069.0
2015-01-05 09:36:00,23.86,24.0,23.85,24.0,717.0,1717364.0
2015-01-05 09:37:00,24.0,24.2,24.0,24.1,962.0,2311228.0
2015-01-05 09:38:00,24.08,24.15,24.08,24.15,306.0,735314.0
2015-01-05 09:39:00,24.15,24.15,24.08,24.14,364.0,877562.0
2015-01-05 09:40:00,24.14,24.14,24.06,24.08,78.0,187926.0
2015-01-05 09:41:00,24.08,24.14,24.05,24.11,464.0,1116868.0
2015-01-05 09:42:00,24.14,24.14,24.1,24.11,343.0,826984.0
2015-01-05 09:43:00,24.11,24.12,24.1,24.12,592.0,1429004.0
2015-01-05 09:44:00,24.15,24.32,24.12,24.32,264.0,635828.0
2015-01-05 09:45:00,24.33,24.4,24.3,24.4,231.0,562128.0
2015-01-05 09:46:00,24.3,24.4,24.3,24.39,233.0,568112.0
2015-01-05 09:47:00,24.45,24.45,24.4,24.44,497.0,1213572.0
2015-01-05 09:48:00,24.44,24.45,24.42,24.42,278.0,679368.0
2015-01-05 09:49:00,24.44,24.45,24.43,24.45,287.0,701532.0
2015-01-05 09:50:00,24.43,24.5,24.4,24.5,429.0,1048460.0
2015-01-05 09:51:00,24.4,24.5,24.4,24.4,622.0,1519118.0
2015-01-05 09:52:00,24.41,24.41,24.35,24.35,97.0,236630.0
2015-01-05 09:53:00,24.35,24.4,24.31,24.39,98.0,238640.0
2015-01-05 09:54:00,24.39,24.39,24.25,24.25,124.0,301524.0
2015-01-05 09:55:00,24.32,24.32,24.2,24.22,82.0,198544.0
2015-01-05 09:56:00,24.2,24.2,24.2,24.2,90.0,217376.0
2015-01-05 09:57:00,24.2,24.2,24.15,24.15,209.0,505352.0
2015-01-05 09:58:00,24.15,24.15,24.07,24.1,431.0,1040984.0
2015-01-05 09:59:00,24.11,24.12,24.07,24.07,229.0,551168.0
2015-01-05 10:00:00,24.03,24.1,24.03,24.07,82.0,197340.0
2015-01-05 10:01:00,24.1,24.1,24.0,24.01,712.0,1709888.0
2015-01-05 10:02:00,24.01,24.03,24.0,24.03,432.0,1038332.0
2015-01-05 10:03:00,24.1,24.1,24.03,24.03,93.0,222440.0
2015-01-05 10:04:00,24.03,24.1,24.03,24.09,247.0,594304.0
2015-01-05 10:05:00,24.09,24.09,24.05,24.05,201.0,483672.0
2015-01-05 10:06:00,24.05,24.1,24.05,24.1,190.0,457668.0
2015-01-05 10:07:00,24.09,24.1,24.06,24.09,149.0,358884.0
2015-01-05 10:08:00,24.09,24.1,24.0,24.0,664.0,1597492.0
2015-01-05 10:09:00,24.01,24.15,24.01,24.03,533.0,1282944.0
2015-01-05 10:10:00,24.1,24.1,24.02,24.02,172.0,413776.0
2015-01-05 10:11:00,24.06,24.06,24.02,24.05,97.0,233252.0
2015-01-05 10:12:00,24.05,24.05,24.03,24.03,145.0,348664.0
2015-01-05 10:13:00,24.02,24.02,24.0,24.0,1190.0,2856480.0
2015-01-05 10:14:00,24.0,24.02,24.0,24.0,246.0,590884.0
2015-01-05 10:15:00,24.0,24.0,23.99,24.0,323.0,775552.0
2015-01-05 10:16:00,24.02,24.02,23.96,23.96,197.0,472080.0
2015-01-05 10:17:00,23.96,24.02,23.95,23.95,170.0,407392.0
2015-01-05 10:18:00,23.95,24.14,23.94,24.14,190.0,456724.0
