con_code,date,count,date_be
000027.SZ,2015-01-05,240,0
000027.SZ,2015-01-06,240,240
000027.SZ,2015-01-07,240,480
000027.SZ,2015-01-08,240,720
000027.SZ,2015-01-09,240,960
000027.SZ,2015-01-12,240,1200
000027.SZ,2015-01-13,240,1440
000027.SZ,2015-01-14,240,1680
000027.SZ,2015-01-15,240,1920
000027.SZ,2015-01-16,240,2160
000027.SZ,2015-01-19,240,2400
000027.SZ,2015-01-20,240,2640
000027.SZ,2015-01-21,240,2880
000027.SZ,2015-01-22,240,3120
000027.SZ,2015-01-23,240,3360
000027.SZ,2015-01-26,240,3600
000027.SZ,2015-01-27,240,3840
000027.SZ,2015-01-28,240,4080
000027.SZ,2015-01-29,240,4320
000027.SZ,2015-01-30,240,4560
000027.SZ,2015-02-02,240,4800
000027.SZ,2015-02-03,240,5040
000027.SZ,2015-02-04,240,5280
000027.SZ,2015-02-05,240,5520
000027.SZ,2015-02-06,240,5760
000027.SZ,2015-02-09,240,6000
000027.SZ,2015-02-10,240,6240
000027.SZ,2015-02-11,240,6480
000027.SZ,2015-02-12,240,6720
000027.SZ,2015-02-13,240,6960
000027.SZ,2015-02-16,240,7200
000027.SZ,2015-02-17,240,7440
000027.SZ,2015-02-25,240,7680
000027.SZ,2015-02-26,240,7920
000027.SZ,2015-02-27,240,8160
000027.SZ,2015-03-02,240,8400
000027.SZ,2015-03-03,240,8640
000027.SZ,2015-03-04,240,8880
000027.SZ,2015-03-05,240,9120
000027.SZ,2015-03-06,240,9360
000027.SZ,2015-03-09,240,9600
000027.SZ,2015-03-10,240,9840
000027.SZ,2015-03-11,240,10080
000027.SZ,2015-03-12,240,10320
000027.SZ,2015-03-13,240,10560
000027.SZ,2015-03-16,240,10800
000027.SZ,2015-03-17,240,11040
000027.SZ,2015-03-18,240,11280
000027.SZ,2015-03-19,240,11520
000027.SZ,2015-03-20,240,11760
000027.SZ,2015-03-23,240,12000
000027.SZ,2015-03-24,240,12240
000027.SZ,2015-03-25,240,12480
000027.SZ,2015-03-26,240,12720
000027.SZ,2015-03-27,240,12960
000027.SZ,2015-03-30,240,13200
000027.SZ,2015-03-31,240,13440
000027.SZ,2015-04-01,240,13680
000027.SZ,2015-04-02,240,13920
000027.SZ,2015-04-03,240,14160
